INSERT INTO pengusul (pu_id, p_id, pu_nama, pu_instansi, pu_nik, pu_email, pu_password, pu_nokontak) VALUES (1, 5, 'Farhunnisa Zahrah', 'UNIVERSITAS KALIMANTAN BARAT', '0676968585451689', 'Faustino_Hastuti@gmail.co.id', 'dDTl9PtgVuOExUl', '+628658124699')
INSERT INTO pengusul (pu_id, p_id, pu_nama, pu_instansi, pu_nik, pu_email, pu_password, pu_nokontak) VALUES (2, 10, 'Fitri Ananda', 'UNIVERSITAS KALIMANTAN BARAT', '4818439215672716', 'Alivia13@gmail.com', 'i1V9VBsRPdB1l0i', '+628851944838')
INSERT INTO pengusul (pu_id, p_id, pu_nama, pu_instansi, pu_nik, pu_email, pu_password, pu_nokontak) VALUES (3, 15, 'Daniswara Santoso', 'UNIVERSITAS SULAWESI TENGAH', '5359970952675721', 'Monroe_Mahendra61@gmail.co.id', 'pyfca7j4HY2aZDi', '+628856397966')
INSERT INTO pengusul (pu_id, p_id, pu_nama, pu_instansi, pu_nik, pu_email, pu_password, pu_nokontak) VALUES (5, 25, 'Gadis Padmasari', 'UNIVERSITAS GORONTALO', '8228027965095669', 'Arjun38@yahoo.co.id', 'C6lT8W5epg0eWCK', '+628107930664')
INSERT INTO pengusul (pu_id, p_id, pu_nama, pu_instansi, pu_nik, pu_email, pu_password, pu_nokontak) VALUES (4, 20, 'Karimah Pudjiastuti', 'UNIVERSITAS NUSA TENGGARA BARAT', '2742517670421772', 'Jaylan.Darmawan36@gmail.com', 'IvcBpnjN84lsd27', '+628642111159')
INSERT INTO pengusul (pu_id, p_id, pu_nama, pu_instansi, pu_nik, pu_email, pu_password, pu_nokontak) VALUES (6, 30, 'Yessi Rahimah S.Ked', 'UNIVERSITAS PAPUA BARAT', '6037647497954306', 'Trinity.Halimah@yahoo.co.id', 'qHfqZQmUt77K2Sg', '+628243322377')
INSERT INTO pengusul (pu_id, p_id, pu_nama, pu_instansi, pu_nik, pu_email, pu_password, pu_nokontak) VALUES (7, 35, 'Jaeman Iswahyudi', 'UNIVERSITAS PAPUA BARAT', '2184002613740806', 'Kristian_Prasetya@yahoo.com', 'VNLypntmg9rks8Z', '+628969148904')
INSERT INTO pengusul (pu_id, p_id, pu_nama, pu_instansi, pu_nik, pu_email, pu_password, pu_nokontak) VALUES (8, 40, 'Edi Iswahyudi', 'UNIVERSITAS RIAU', '5451115452050564', 'Yazmin.Sitorus@yahoo.co.id', 'jIgf7ubjSomp8Jd', '+628815583656')
INSERT INTO pengusul (pu_id, p_id, pu_nama, pu_instansi, pu_nik, pu_email, pu_password, pu_nokontak) VALUES (9, 45, 'Irawati Andriani', 'UNIVERSITAS SUMATERA SELATAN', '0935881386852174', 'Maximo.Zulaika29@yahoo.com', 'Uq28MAeQojxcxtb', '+628076731127')
INSERT INTO pengusul (pu_id, p_id, pu_nama, pu_instansi, pu_nik, pu_email, pu_password, pu_nokontak) VALUES (10, 50, 'Cici Rahimah', 'UNIVERSITAS SULAWESI TENGAH', '0349636295119609', 'Nigel.Rayhan@gmail.co.id', 'rDjcn8QZAdWuWVZ', '+628288584767')
INSERT INTO pengusul (pu_id, p_id, pu_nama, pu_instansi, pu_nik, pu_email, pu_password, pu_nokontak) VALUES (11, 55, 'Cahyono Haryanto', 'UNIVERSITAS RIAU', '8226123617913820', 'Xander_Thamrin@yahoo.co.id', 't5VtoUfh5IlOGMe', '+628880535645')
INSERT INTO pengusul (pu_id, p_id, pu_nama, pu_instansi, pu_nik, pu_email, pu_password, pu_nokontak) VALUES (12, 60, 'Hasna Sudiati S.Farm', 'UNIVERSITAS PAPUA BARAT', '4149609447654820', 'Mervin.Sirait@yahoo.com', 'p5QpbmYPYZ0oxCm', '+628813213902')
INSERT INTO pengusul (pu_id, p_id, pu_nama, pu_instansi, pu_nik, pu_email, pu_password, pu_nokontak) VALUES (13, 65, 'Prima Hakim S.Pd', 'UNIVERSITAS ACEH', '6523454140078000', 'Robyn_Rahardian@yahoo.co.id', 'f4_ZA1LFCjeEM8v', '+628341828299')
INSERT INTO pengusul (pu_id, p_id, pu_nama, pu_instansi, pu_nik, pu_email, pu_password, pu_nokontak) VALUES (14, 70, 'Aurora Purwanti', 'UNIVERSITAS RIAU', '8837227693227253', 'Gus48@gmail.co.id', 'KecnSJO_KFkmaGp', '+628527772864')
INSERT INTO pengusul (pu_id, p_id, pu_nama, pu_instansi, pu_nik, pu_email, pu_password, pu_nokontak) VALUES (15, 75, 'Salwa Kusmawati M.TI.', 'UNIVERSITAS NUSA TENGGARA TIMUR', '3959071513470749', 'Jeffery.Farida31@yahoo.com', '7ihx5g9f102MKLr', '+628271675898')
INSERT INTO pengusul (pu_id, p_id, pu_nama, pu_instansi, pu_nik, pu_email, pu_password, pu_nokontak) VALUES (16, 80, 'Ibrahim Sitorus S.E.I', 'UNIVERSITAS KALIMANTAN TIMUR', '9528525834609811', 'Araceli.Wasita40@yahoo.com', '9SuuRB4rNC87aZI', '+628740394786')
INSERT INTO pengusul (pu_id, p_id, pu_nama, pu_instansi, pu_nik, pu_email, pu_password, pu_nokontak) VALUES (17, 85, 'Azalea Nurdiyanti M.Kom.', 'UNIVERSITAS DKI JAKARTA', '1751651040416601', 'Clay_Padmasari38@gmail.com', 'fjiadPQDxe9NniP', '+628473015728')
INSERT INTO pengusul (pu_id, p_id, pu_nama, pu_instansi, pu_nik, pu_email, pu_password, pu_nokontak) VALUES (18, 90, 'Nimas Melinda', 'UNIVERSITAS MALUKU', '5644946258422580', 'Ettie_Suryatmi85@gmail.co.id', 'hVEUuUvFYRMRJwF', '+628549187118')
INSERT INTO pengusul (pu_id, p_id, pu_nama, pu_instansi, pu_nik, pu_email, pu_password, pu_nokontak) VALUES (19, 95, 'Rita Permata', 'UNIVERSITAS PAPUA', '7575586297973796', 'Ardella.Arifin86@gmail.com', 'cAwzRh9nqo4UivH', '+628381071924')
INSERT INTO pengusul (pu_id, p_id, pu_nama, pu_instansi, pu_nik, pu_email, pu_password, pu_nokontak) VALUES (20, 100, 'Cindy Uyainah', 'UNIVERSITAS SUMATERA UTARA', '7675095258806982', 'Gussie_Prastuti@yahoo.co.id', '4ZTK6G0153kCHGR', '+628833165907')
INSERT INTO pengusul (pu_id, p_id, pu_nama, pu_instansi, pu_nik, pu_email, pu_password, pu_nokontak) VALUES (21, 105, 'Jono Nainggolan S.IP', 'UNIVERSITAS SULAWESI TENGAH', '4239862572312234', 'Erwin_Mangunsong@gmail.co.id', 'Rortq_WFS1uR5Xw', '+628180606212')
INSERT INTO pengusul (pu_id, p_id, pu_nama, pu_instansi, pu_nik, pu_email, pu_password, pu_nokontak) VALUES (22, 110, 'Tami Susanti', 'UNIVERSITAS KALIMANTAN UTARA', '2255351903533249', 'Forrest.Yanuar@gmail.com', 'TrQXy694aZ8htWN', '+628567533681')
